ST,SLEEMANCARRN,NORWAYCARR_PRE,MASSCARR01,GREECECARRN
1,0,8,0,3
2,0,0,0,0
3,15,24,2,17
4,2,3,2,0
5,0,0,0,0
6A/C,25,56,27,54
6B,90,67,14,127
7A,0,0,0,0
7B,0,0,0,0
7C,0,0,0,1
7F,3,6,0,14
8,5,2,0,4
9A,0,0,4,0
9L,0,0,1,0
9N,8,0,2,7
9V,10,25,0,13
10A,10,4,0,16
10F,0,0,0,0
11A,13,25,10,33
11B,0,0,0,0
11C,0,0,0,0
11F,0,0,0,0
12A,0,0,0,0
12F,2,0,0,0
13,1,0,0,0
14,28,18,7,46
15A,3,0,1,16
15B,15,31,5,31
15C,15,26,5,0
15F,,0,1,0
16,,0,0,0
16F,4,4,0,0
17A,0,0,0,0
17F,4,0,0,0
18A,0,1,0,1
18B,1,0,0,3
18C,14,18,4,19
18F,0,0,0,0
19A,15,11,9,24
19B,0,0,0,0
19C,0,0,0,0
19F,74,58,13,91
20,4,0,0,5
21,10,12,0,7
22A,,0,0,0
22F,8,3,5,7
23A,9,12,2,20
23B,1,0,2,5
23F,45,53,14,97
24A,,0,0,0
24B,,0,0,0
24B,,0,0,0
24F,,2,0,9
25,,0,2,0
27,0,0,0,0
28A,,0,0,0
28F,,0,0,0
29,0,0,0,0
31,1,2,2,0
32A,0,0,0,0
32F,0,0,0,0
33A,,0,0,0
33B,0,0,0,0
33F,7,8,0,10
34,0,6,2,0
35A,0,0,0,0
35B,0,9,4,0
35F,4,7,2,0
37,1,4,0,0
38,3,9,0,0
42,,0,0,0
43,0,0,0,0
36,,0,0,0
39,,0,0,0
40,,0,0,0
