"","st.index","st","log.inv.age1","log.inv.prec.age1"
"1",1,"1",10.9896392970691,9.27896580913312
"2",2,"10A",6.55708465565167,4.7697381349282
"107",3,"10C",6.11980901482112,0.412350990084154
"54",4,"10F",5.41875838632859,0.558796428066528
"3",5,"11A",4.66214253863994,1.59738929466235
"56",6,"11C",6.50945688195407,0.342219910787788
"57",7,"11D",6.51761510194906,0.335149368611891
"58",8,"11F",6.13014416576742,0.401075320661469
"59",9,"12A",6.50938093897574,0.33527085280871
"4",10,"12F",9.73873054380519,21.679263822503
"5",11,"13",5.25966070098408,0.580914073156935
"6",12,"14",8.52136888993706,21.3355271870469
"7",13,"15A",6.27912778701822,5.87836432284914
"8",14,"15B/C",6.41529882743521,8.57838118488288
"9",15,"15F",5.13836668480228,0.570276821163126
"10",16,"16A",6.19916484927456,0.391656360579118
"11",17,"16F",7.00317781838275,7.2871763898711
"12",18,"17A",5.4574915963523,0.540576613755282
"13",19,"17F",6.02196899037737,3.0435901932238
"14",20,"18A",9.3592083882195,1.03762109904056
"15",21,"18B",9.65240562362802,2.29901081719281
"16",22,"18C",8.83273692504607,12.7551923542503
"17",23,"18F",7.19133468787349,0.869419815117633
"18",24,"19A",7.95373406446651,43.4803739645042
"19",25,"19C",6.34090030908737,0.387494614532029
"20",26,"19F",7.19567906879697,15.3936585624585
"21",27,"20",6.98976452863817,0.933478329524589
"22",28,"21",6.20732134568702,2.9030318395257
"23",29,"22A",6.97327113928532,0.978942033584733
"160",30,"22B",6.68602474813549,0.311498413119832
"24",31,"22F",7.02798479740613,14.9350738624852
"25",32,"23A",5.02542414686176,1.48419059796511
"26",33,"23B",6.14391158311108,5.95364715821039
"27",34,"23F",7.41858700589324,14.9582741448583
"28",35,"24B",6.32350405683505,0.367421098021034
"83",36,"24F",6.53981515168299,0.344490236895189
"123",37,"27",9.83536166257974,0.784735910157455
"166",38,"28",6.11978730539932,0.429426809818033
"167",39,"29",6.42367171400832,0.357239961583106
"29",40,"3",7.80163297953301,14.2260562068779
"30",41,"31",5.80106823281766,2.21204945221453
"170",42,"32F",6.44710857252931,0.364901520142009
"31",43,"33A",5.68461219414801,0.501552635668598
"32",44,"33F",6.860425283193,4.58311081471058
"33",45,"34",5.3245678299316,1.40843831168605
"34",46,"35A",4.67187286291823,0.704169200308746
"35",47,"35B",5.71755273184062,5.14280385830314
"91",48,"35C",5.90480663446825,0.451868833683167
"36",49,"35F",4.2412874242906,0.798646161956802
"177",50,"36",6.52710810094327,0.346904497134947
"37",51,"37",5.42743768610354,0.532299180847164
"38",52,"38",7.26196963246092,4.28629011432124
"180",53,"39",6.21135877075445,0.404425447105368
"39",54,"4",9.0434225626514,13.086768232093
"182",55,"43",6.63895903126068,0.310903865663265
"40",56,"46",6.30212813645649,0.354497635706516
"41",57,"5",10.9951196060339,1.90086555176405
"42",58,"6A/C",6.27697108931243,17.5927423506402
"43",59,"6B",7.79438599738633,26.0240282914736
"98",60,"7A",5.71980619825917,0.501961569826346
"44",61,"7C",5.53202972844675,1.34498369096833
"45",62,"7F",10.0381201544088,21.4706947833558
"46",63,"8",7.8825911928481,4.01018019675091
"47",64,"9A",6.05385222985156,0.415157937607372
"48",65,"9L",6.90178979373304,1.69415594809505
"49",66,"9N",6.56694381991646,1.09018434554497
"50",67,"9V",8.26369360336988,14.6078265469497
"51",68,"NT",6.01037251279702,5.02336844383399
